epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,950.393,0.6488,1.60553,0.84765,1.2264,0.85779,0.80862,0.83878,0.61386,0.82032,0.76556,0.76743,0.49089,1.17896,3.23281,0.9348,1.88593,0.000478762,0.000478762,0.000478762
74,963.467,0.63635,1.5761,0.86331,1.20651,0.83637,0.71706,0.83191,0.62819,0.81916,0.71045,0.7853,0.50914,1.15596,3.22396,1.01206,1.86385,0.000462259,0.000462259,0.000462259
75,976.624,0.62653,1.51145,0.80395,1.2144,0.86642,0.73781,0.82649,0.60359,0.83521,0.7174,0.76818,0.49993,1.16115,3.31731,1.03776,1.8617,0.000445756,0.000445756,0.000445756
76,989.937,0.65523,1.55101,0.81141,1.22289,0.83213,0.82797,0.83756,0.60901,0.76481,0.75801,0.76372,0.49459,1.19053,3.20015,1.00806,1.90925,0.000429253,0.000429253,0.000429253
77,1003.19,0.62752,1.45588,0.79838,1.20333,0.85291,0.80553,0.85549,0.62373,0.80385,0.7588,0.7637,0.51156,1.165,3.20105,0.95798,1.84068,0.000412749,0.000412749,0.000412749
78,1016.56,0.61878,1.45862,0.77765,1.19061,0.83223,0.76208,0.83535,0.60999,0.75119,0.69495,0.73986,0.5035,1.15263,3.22639,0.99988,1.7795,0.000396246,0.000396246,0.000396246
79,1029.93,0.61078,1.45682,0.77845,1.18916,0.76123,0.83351,0.83599,0.61268,0.84522,0.66434,0.73805,0.48793,1.11924,3.38731,1.04911,1.802,0.000379743,0.000379743,0.000379743
80,1043.44,0.61534,1.45187,0.77042,1.18951,0.80237,0.80092,0.84105,0.60886,0.74488,0.72514,0.74673,0.4912,1.11679,3.4744,0.98136,1.81579,0.000363239,0.000363239,0.000363239
81,1056.76,0.61823,1.47637,0.76115,1.18404,0.78539,0.79557,0.81605,0.6033,0.77272,0.73374,0.75593,0.49146,1.15944,3.22095,1.04505,1.86789,0.000346736,0.000346736,0.000346736
82,1069.96,0.59463,1.36964,0.76258,1.17397,0.80133,0.81901,0.80996,0.58483,0.75573,0.75677,0.73274,0.48848,1.12804,3.16423,1.02292,1.83896,0.000330233,0.000330233,0.000330233
83,1083.18,0.60821,1.44791,0.75524,1.19428,0.77769,0.80113,0.82352,0.59278,0.75968,0.70521,0.73798,0.49663,1.19175,3.22939,0.96646,1.89941,0.000313729,0.000313729,0.000313729
84,1096.38,0.61783,1.45238,0.77708,1.20434,0.88014,0.77075,0.85429,0.60976,0.73194,0.77713,0.74401,0.49818,1.17973,3.35028,0.95695,1.90074,0.000297226,0.000297226,0.000297226
85,1109.5,0.58424,1.40524,0.72903,1.17288,0.87644,0.80305,0.85224,0.62986,0.79425,0.72183,0.77999,0.51106,1.13694,3.23141,0.87354,1.86179,0.000280723,0.000280723,0.000280723
86,1122.75,0.5558,1.36262,0.7122,1.14958,0.80449,0.8064,0.8183,0.60276,0.723,0.7884,0.75264,0.50767,1.18318,3.22992,0.94621,1.92876,0.00026422,0.00026422,0.00026422
87,1136.13,0.58,1.32328,0.75073,1.17459,0.83749,0.78974,0.8193,0.60441,0.77483,0.73577,0.73664,0.49589,1.13821,3.30832,0.9901,1.92061,0.000247716,0.000247716,0.000247716
88,1149.34,0.56683,1.39317,0.73587,1.14715,0.84562,0.78249,0.81669,0.59554,0.81459,0.75632,0.76994,0.48289,1.19764,3.31535,0.99039,1.93651,0.000231213,0.000231213,0.000231213
89,1162.5,0.53771,1.34334,0.69686,1.14119,0.86543,0.78652,0.82545,0.59584,0.79773,0.73795,0.75247,0.48671,1.18627,3.34076,0.99554,1.95917,0.00021471,0.00021471,0.00021471
90,1176.03,0.56895,1.33266,0.7354,1.15837,0.82268,0.7927,0.83974,0.61213,0.77643,0.75188,0.76217,0.49104,1.15612,3.30892,1.00226,1.91816,0.000198206,0.000198206,0.000198206
91,1189.55,0.60829,1.42723,0.75205,1.32016,0.87301,0.70516,0.80795,0.5662,0.86022,0.67419,0.74428,0.47682,1.24257,3.50932,1.12211,2.05585,0.000181703,0.000181703,0.000181703
92,1202.31,0.55991,1.31979,0.62373,1.30168,0.81316,0.79275,0.82584,0.60597,0.78137,0.75692,0.76416,0.49566,1.21916,3.50347,1.01184,1.97155,0.0001652,0.0001652,0.0001652
93,1215.1,0.50632,1.23823,0.55559,1.2314,0.85562,0.78663,0.83477,0.63461,0.83025,0.76732,0.78414,0.5209,1.12955,3.34315,1.00722,1.86492,0.000148696,0.000148696,0.000148696
94,1227.83,0.51135,1.31761,0.55268,1.24252,0.85125,0.7986,0.84592,0.64427,0.80995,0.76799,0.79139,0.52365,1.09868,3.3248,0.94478,1.82075,0.000132193,0.000132193,0.000132193
95,1240.64,0.50847,1.20499,0.54129,1.24936,0.89301,0.7782,0.85615,0.64646,0.85256,0.74541,0.79213,0.53281,1.12145,3.35747,0.93883,1.86513,0.00011569,0.00011569,0.00011569
96,1253.55,0.49697,1.20217,0.49463,1.21176,0.8427,0.7884,0.84587,0.63123,0.8012,0.76799,0.78412,0.52513,1.13787,3.29697,0.9441,1.8644,9.91865e-05,9.91865e-05,9.91865e-05
97,1266.26,0.47787,1.22151,0.51686,1.20235,0.88156,0.7782,0.85223,0.64198,0.85469,0.75779,0.79231,0.53004,1.10128,3.35184,0.90818,1.83413,8.26832e-05,8.26832e-05,8.26832e-05
98,1278.91,0.46681,1.16698,0.49638,1.19527,0.81616,0.81901,0.84521,0.63934,0.78676,0.7884,0.78512,0.53361,1.12075,3.42171,0.91115,1.88815,6.61799e-05,6.61799e-05,6.61799e-05
99,1291.67,0.48574,1.229,0.51781,1.21095,0.82213,0.81717,0.86492,0.64241,0.8003,0.79676,0.78728,0.52815,1.12965,3.41618,0.9097,1.88684,4.96766e-05,4.96766e-05,4.96766e-05
100,1304.41,0.48945,1.19138,0.49668,1.20876,0.81531,0.81901,0.84678,0.63897,0.7852,0.7884,0.78627,0.52905,1.16692,3.4193,0.93457,1.91039,3.31733e-05,3.31733e-05,3.31733e-05
